time_stamp,agent_id,agent_signature,target_id,target_signature,target_type,target_x,target_y,target_radius
3,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
7,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
10,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
13,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
16,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
20,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
24,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
27,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
30,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
34,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
37,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
40,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
44,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
47,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
50,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
54,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
57,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
60,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
64,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
67,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
70,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
74,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
77,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
80,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
84,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
87,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
91,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
94,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
97,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
101,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
104,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
107,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
111,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
114,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
117,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
120,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
124,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
127,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
130,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
133,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
137,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
140,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
143,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
147,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
150,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
153,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
157,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
160,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
163,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
167,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
171,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
175,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
178,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
181,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
185,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
188,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
192,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
195,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
199,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
202,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
205,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
209,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
212,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
215,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
218,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
221,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
225,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
228,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
232,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
235,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
238,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
242,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
245,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
248,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
251,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
254,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
258,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
261,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
264,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
268,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
271,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
274,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
278,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
281,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
285,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
288,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
291,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
294,1,1171193100415937,1,7073424337006544,0,185.0,95.0,13
